IdSolicitante;TipoDemandante;Sexo;Escolaridade;Profissao;UF
1090195;Pessoa Fisica;Masculino;Pos-graduacao;Empregado - setor privado;PE
1090199;Pessoa Fisica;Masculino;Ensino Superior ;Outra;PR
1090208;Pessoa Fisica;Feminino;Pos-graduacao;Servidor publico federal;MS
1090212;Pessoa Fisica;Masculino;Pos-graduacao;Servidor publico federal;RJ
1090213;Pessoa Fisica;Feminino;Ensino Superior ;Outra;SP
1090215;Pessoa Fisica;Feminino;Ensino Superior ;Outra;PR
1090221;Pessoa Fisica;Masculino;Ensino Medio;Empregado - setor privado;RJ
1090222;Pessoa Fisica;Masculino;Ensino Superior ;Servidor publico federal;GO
1090223;Pessoa Juridica;Nao se aplica;Nao se aplica;Nao se aplica;SP
1090224;Pessoa Fisica;Feminino;Ensino Medio;Outra;BA
1090228;Pessoa Fisica;Masculino;Ensino Fundamental;Estudante;DF
1090233;Pessoa Fisica;Feminino;Ensino Medio;Empregado - setor privado;DF
1090238;Pessoa Fisica;Feminino;Ensino Medio;Outra;SP
1090240;Pessoa Fisica;Feminino;Ensino Medio;Outra;MG
1090243;Pessoa Fisica;Masculino;Ensino Medio;Estudante;SP
1090248;Pessoa Fisica;Masculino;Ensino Medio;Profis. Liberal/Autonomo;MG
1090249;Pessoa Fisica;Feminino;Pos-graduacao;Estudante;MA
1090250;Pessoa Fisica;Masculino;Ensino Medio;Empregado - setor privado;SP
1090251;Pessoa Fisica;Feminino;Pos-graduacao;Empresario/empreendedor;SP
1090262;Pessoa Fisica;Feminino;Ensino Medio;Outra;SP
1090264;Pessoa Juridica;Nao se aplica;Nao se aplica;Nao se aplica;RN
1090271;Pessoa Fisica;Feminino;Ensino Superior ;Servidor publico estadual;RS
1090275;Pessoa Fisica;Feminino;Ensino Superior ;Empresario/empreendedor;RS
1090276;Pessoa Fisica;Masculino;Ensino Superior ;Empresario/empreendedor;SP
1090277;Pessoa Fisica;Feminino;Pos-graduacao;Empregado - setor privado;MG
