IdSolicitante,TipoDemandante,Sexo,Escolaridade,Profissao,UF
1036088,Pessoa Física,Feminino,Pós-graduação,Servidor público federal,AM
1036094,Pessoa Física,Masculino,Ensino Superior ,Empregado - setor privado,SP
1036105,Pessoa Física,Masculino,Ensino Superior ,Empresário/empreendedor,SP
1036106,Pessoa Física,Feminino,Ensino Médio,Estudante,MG
1036107,Pessoa Física,Masculino,Ensino Superior ,Servidor público estadual,GO
1036111,Pessoa Física,Masculino,Ensino Médio,Empregado - setor privado,PR
1036115,Pessoa Jurídica,Não se aplica,Não se aplica,Não se aplica,PR
1036136,Pessoa Física,Feminino,Ensino Superior ,Outra,RJ
1036139,Pessoa Física,Feminino,Mestrado/Doutorado,Professor,MG
1036143,Pessoa Física,Masculino,Pós-graduação,Servidor público federal,RJ
1036150,Pessoa Física,Feminino,Pós-graduação,Servidor público federal,SP
1036160,Pessoa Física,Feminino,Ensino Superior ,Professor,BA
1036167,Pessoa Física,Masculino,Pós-graduação,Profis. Liberal/autônomo,PR
1036170,Pessoa Física,Feminino,Ensino Superior ,Empregado - setor privado,MG
1036171,Pessoa Física,Masculino,Ensino Superior ,Pesquisador,MG
1036174,Pessoa Física,Feminino,Pós-graduação,Servidor público municipal,ES
1036179,Pessoa Física,Masculino,Ensino Médio,Profis. Liberal/autônomo,SP
1036182,Pessoa Física,Masculino,Ensino Superior ,Empregado - setor privado,MG
1036186,Pessoa Física,Masculino,Ensino Médio,Outra,SP
1036189,Pessoa Física,Feminino,Pós-graduação,Outra,MG
1036193,Pessoa Física,Feminino,Sem instrução formal,Outra,SP
1036199,Pessoa Física,Masculino,Ensino Superior ,Professor,PR
1036203,Pessoa Física,Feminino,Ensino Médio,Estudante,RJ
1036208,Pessoa Física,Masculino,Ensino Médio,Outra,PR
1036217,Pessoa Física,Masculino,Ensino Superior ,Profis. Liberal/autônomo,AL
1036218,Pessoa Física,Masculino,Ensino Médio,Outra,SP
1036220,Pessoa Física,Feminino,Ensino Superior ,Outra,MG
1036223,Pessoa Física,Masculino,Ensino Superior ,Empregado - setor privado,MG
1036224,Pessoa Física,Feminino,Mestrado/Doutorado,Servidor público federal,DF
1036227,Pessoa Física,Feminino,Ensino Médio,Estudante,RJ
1036233,Pessoa Física,Masculino,Ensino Médio,Pesquisador,ES
1036234,Pessoa Física,Masculino,Ensino Médio,Empregado - setor privado,RS
1036237,Pessoa Física,Masculino,Ensino Médio,Outra,PE
1036238,Pessoa Física,Masculino,Ensino Superior ,Outra,RJ
1036244,Pessoa Física,Feminino,Ensino Superior ,Estudante,SP
1036251,Pessoa Física,Masculino,Ensino Médio,Estudante,RJ
1036252,Pessoa Física,Masculino,Ensino Fundamental,Profis. Liberal/autônomo,RS
1036255,Pessoa Física,Masculino,Ensino Médio,Outra,RJ
1036260,Pessoa Física,Masculino,Ensino Superior ,Outra,SP
1036262,Pessoa Física,Masculino,Ensino Médio,Estudante,MG
1036266,Pessoa Física,Masculino,Ensino Médio,Estudante,RJ
1036269,Pessoa Jurídica,Não se aplica,Não se aplica,Não se aplica,RJ
1036272,Pessoa Física,Masculino,Ensino Superior ,Professor,MG
1036275,Pessoa Física,Feminino,Ensino Superior ,Estudante,PR
1036281,Pessoa Física,Feminino,Mestrado/Doutorado,Servidor público federal,MT
1036284,Pessoa Física,Masculino,Ensino Médio,Estudante,ES
1036286,Pessoa Física,Masculino,Ensino Médio,Servidor público federal,RN
1036287,Pessoa Física,Masculino,Mestrado/Doutorado,Empregado - setor privado,GO
1036288,Pessoa Física,Masculino,Ensino Superior ,Professor,DF
1036289,Pessoa Física,Masculino,Ensino Superior ,Empregado - setor privado,MS
1036290,Pessoa Física,Masculino,Ensino Médio,Outra,RJ
1036292,Pessoa Física,Masculino,Ensino Médio,Estudante,SP
1036309,Pessoa Física,Masculino,Ensino Médio,Outra,GO
1036317,Pessoa Física,Masculino,Ensino Médio,Outra,MG
1036321,Pessoa Física,Masculino,Ensino Superior ,Empregado - setor privado,GO
1036324,Pessoa Física,Masculino,Ensino Fundamental,Empresário/empreendedor,SP
1036328,Pessoa Física,Masculino,Ensino Médio,Empregado - setor privado,AL
1036332,Pessoa Jurídica,Não se aplica,Não se aplica,Não se aplica,SP
1036334,Pessoa Física,Feminino,Ensino Superior ,Outra,MG
1036340,Pessoa Física,Masculino,Ensino Superior ,Empresário/empreendedor,PR
1036341,Pessoa Física,Masculino,Ensino Médio,Servidor público federal,PB
1036348,Pessoa Física,Masculino,Ensino Médio,Estudante,GO
1036349,Pessoa Física,Masculino,Ensino Médio,Empregado - setor privado,PE
1036353,Pessoa Física,Masculino,Ensino Médio,Estudante,SP
1036354,Pessoa Jurídica,Não se aplica,Não se aplica,Não se aplica,PR
1036356,Pessoa Física,Masculino,Ensino Superior ,Servidor público federal,RJ
1036360,Pessoa Física,Feminino,Ensino Médio,Outra,RS
1036361,Pessoa Física,Feminino,Pós-graduação,Servidor público estadual,SE
1036365,Pessoa Física,Feminino,Pós-graduação,Empregado - setor privado,MG
1036367,Pessoa Física,Masculino,Ensino Médio,Outra,BA
1036373,Pessoa Física,Masculino,Ensino Superior ,Empresário/empreendedor,RS
1036376,Pessoa Física,Masculino,Ensino Superior ,Pesquisador,MA
1036377,Pessoa Física,Masculino,Mestrado/Doutorado,Empresário/empreendedor,RJ
1036384,Pessoa Física,Masculino,Pós-graduação,Pesquisador,ES
1036386,Pessoa Física,Masculino,Ensino Superior ,Servidor público federal,RS
1036388,Pessoa Física,Masculino,Ensino Superior ,Servidor público federal,AL
1036393,Pessoa Física,Masculino,Ensino Médio,Outra,PE
1036394,Pessoa Física,Masculino,Ensino Superior ,Outra,BA
1036399,Pessoa Física,Feminino,Pós-graduação,Empregado - setor privado,MG
1036400,Pessoa Física,Feminino,Sem instrução formal,Outra,PB
1036401,Pessoa Física,Masculino,Pós-graduação,Servidor público municipal,MG
1036404,Pessoa Jurídica,Não se aplica,Não se aplica,Não se aplica,SP
1036405,Pessoa Física,Masculino,Ensino Médio,Estudante,MS
1036406,Pessoa Física,Feminino,Pós-graduação,Servidor público estadual,PA
1036409,Pessoa Física,Feminino,Pós-graduação,Servidor público municipal,RJ
1036423,Pessoa Física,Feminino,Ensino Fundamental,Outra,PE
1036424,Pessoa Física,Masculino,Ensino Médio,Estudante,SP
1036426,Pessoa Física,Feminino,Ensino Médio,Estudante,PE
1036439,Pessoa Física,Masculino,Ensino Médio,Estudante,RJ
1036443,Pessoa Física,Feminino,Ensino Médio,Estudante,RJ
1036444,Pessoa Física,Feminino,Ensino Médio,Estudante,SP
1036449,Pessoa Física,Masculino,Pós-graduação,Empresário/empreendedor,SP
1036455,Pessoa Física,Masculino,Ensino Superior ,Profis. Liberal/autônomo,AM
1036463,Pessoa Física,Masculino,Ensino Médio,Outra,CE
1036464,Pessoa Física,Masculino,Ensino Médio,Outra,PE
1036465,Pessoa Física,Masculino,Ensino Médio,Outra,SP
1036473,Pessoa Física,Masculino,Ensino Superior ,Empresário/empreendedor,PE
1036477,Pessoa Física,Masculino,Ensino Médio,Outra,SP
1036478,Pessoa Física,Feminino,Ensino Médio,Estudante,RN
1036481,Pessoa Física,Masculino,Ensino Médio,Estudante,SP
1036490,Pessoa Física,Masculino,Ensino Médio,Empregado - setor privado,CE
1036493,Pessoa Jurídica,Não se aplica,Não se aplica,Não se aplica,SP
1036506,Pessoa Física,Masculino,Ensino Médio,Membro de partido político,BA
1036512,Pessoa Física,Masculino,Mestrado/Doutorado,Servidor público estadual,DF
1036513,Pessoa Física,Feminino,Ensino Médio,Estudante,PB
1036521,Pessoa Física,Masculino,Ensino Superior ,Profis. Liberal/autônomo,MG
1036523,Pessoa Física,Masculino,Ensino Médio,Outra,SP
1036526,Pessoa Física,Masculino,Ensino Fundamental,Outra,RS
1036528,Pessoa Física,Masculino,Ensino Médio,Empregado - setor privado,ES
1036533,Pessoa Jurídica,Não se aplica,Não se aplica,Não se aplica,SP
1036535,Pessoa Física,Feminino,Ensino Superior ,Servidor público municipal,ES
1036549,Pessoa Física,Feminino,Ensino Médio,Servidor público federal,PE
1036551,Pessoa Física,Masculino,Pós-graduação,Empresário/empreendedor,AM
1036553,Pessoa Física,Masculino,Ensino Médio,Outra,SP
1036554,Pessoa Física,Feminino,Ensino Médio,Estudante,MA
1036555,Pessoa Física,Masculino,Ensino Médio,Estudante,SE
1036556,Pessoa Física,Feminino,Ensino Superior ,Servidor público municipal,MS
1036557,Pessoa Física,Masculino,Ensino Médio,Estudante,RN
1036558,Pessoa Física,Feminino,Ensino Superior ,Estudante,MG
1036562,Pessoa Física,Masculino,Ensino Superior ,Empresário/empreendedor,PR
1036563,Pessoa Física,Feminino,Mestrado/Doutorado,Pesquisador,AP
1036564,Pessoa Física,Feminino,Ensino Médio,Estudante,RJ
1036565,Pessoa Física,Feminino,Ensino Superior ,Servidor público federal,PE
1036572,Pessoa Física,Masculino,Ensino Superior ,Empresário/empreendedor,PR
1036575,Pessoa Física,Feminino,Pós-graduação,Jornalista,SP
1036578,Pessoa Física,Feminino,Pós-graduação,Servidor público estadual,RJ
1036579,Pessoa Física,Masculino,Pós-graduação,Servidor público estadual,SP
1036589,Pessoa Física,Masculino,Ensino Médio,Estudante,RJ
1036590,Pessoa Física,Masculino,Ensino Superior ,Servidor público estadual,SP
1036594,Pessoa Física,Masculino,Ensino Superior ,Empregado - setor privado,PR
1036596,Pessoa Física,Masculino,Ensino Superior ,Outra,RJ
1036600,Pessoa Física,Feminino,Ensino Superior ,Membro de ONG internacional,SP
1036603,Pessoa Física,Masculino,Pós-graduação,Outra,SC
1036604,Pessoa Física,Masculino,Ensino Superior ,Profis. Liberal/autônomo,ES
1036605,Pessoa Física,Masculino,Ensino Médio,Jornalista,PB
1036611,Pessoa Física,Masculino,Pós-graduação,Servidor público estadual,MG
1036613,Pessoa Física,Masculino,Ensino Superior ,Estudante,MA
1036614,Pessoa Física,Masculino,Mestrado/Doutorado,Pesquisador,MG
1036615,Pessoa Física,Masculino,Ensino Superior ,Outra,DF
1036626,Pessoa Física,Masculino,Ensino Médio,Estudante,RJ
1036628,Pessoa Física,Feminino,Mestrado/Doutorado,Servidor público federal,PA
1036633,Pessoa Física,Feminino,Ensino Médio,Empresário/empreendedor,MG
1036634,Pessoa Física,Feminino,Ensino Médio,Outra,BA
1036636,Pessoa Física,Feminino,Ensino Médio,Empregado - setor privado,SP
1036642,Pessoa Física,Feminino,Ensino Médio,Empregado - setor privado,MT
1036648,Pessoa Física,Masculino,Ensino Médio,Estudante,CE
1036649,Pessoa Física,Masculino,Ensino Superior ,Outra,RJ
1036655,Pessoa Física,Masculino,Ensino Fundamental,Estudante,PR
1036659,Pessoa Física,Masculino,Ensino Superior ,Estudante,SP
1036666,Pessoa Física,Masculino,Ensino Superior ,Empresário/empreendedor,SP
1036670,Pessoa Física,Masculino,Ensino Fundamental,Outra,SP
1036673,Pessoa Física,Masculino,Ensino Médio,Outra,SP
1036698,Pessoa Física,Feminino,Ensino Médio,Estudante,RS
1036703,Pessoa Física,Masculino,Ensino Superior ,Profis. Liberal/autônomo,PE
1036705,Pessoa Física,Masculino,Ensino Superior ,Estudante,DF
1036714,Pessoa Física,Feminino,Ensino Fundamental,Empregado - setor privado,RS
